,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
2069,5,0,3,1,5,1,0,0,5,1,1,2,2,7,3,0,2,1,4,2,5,0,0
3625,5,0,3,0,2,1,0,0,7,0,1,1,1,6,6,0,2,1,2,1,4,0,1
5491,2,3,9,0,2,1,0,0,3,0,1,1,1,6,0,0,2,1,2,1,5,0,1
3889,5,0,3,0,2,1,0,0,3,0,1,1,1,4,0,0,2,1,2,1,4,0,1
6219,3,2,8,0,5,1,1,0,2,0,0,2,1,7,7,0,2,2,4,7,3,1,0
3956,5,3,9,0,2,1,0,0,3,0,1,1,1,0,6,0,2,1,2,1,5,4,1
3820,2,3,2,1,5,1,0,0,9,1,1,2,2,7,7,0,2,1,4,2,4,0,0
2351,2,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,5,1
1488,5,2,4,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,3,3,1,0
5152,2,3,9,0,2,1,0,0,2,0,1,1,1,6,0,0,2,1,2,1,5,4,1
4436,2,3,3,0,2,1,0,0,3,0,1,1,1,0,4,0,2,1,2,1,4,0,1
7664,0,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,1,1,4,8,1,2,0
2036,5,2,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,3,1,0
2929,5,0,4,1,5,1,0,0,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0
4861,5,3,9,0,2,1,0,0,2,0,1,1,1,0,0,0,2,1,2,1,4,0,1
6403,3,0,3,0,5,1,1,0,2,0,0,1,1,7,7,0,2,2,4,7,3,1,0
1514,5,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0,0
265,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5,0
0,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5,1
1451,2,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,1
7425,2,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,0,1,4,0,1,2,0
6275,3,3,4,0,8,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,0,1
7209,5,2,4,0,8,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,2,1
2860,5,2,5,0,1,1,1,1,9,0,1,2,2,7,7,0,2,1,4,2,3,0,1
4162,5,0,9,0,2,1,0,0,7,0,1,1,1,4,6,0,2,1,2,1,4,4,1
838,5,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0
14,5,0,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1,0
5425,2,2,3,1,2,1,0,0,10,1,1,0,2,7,7,0,2,1,4,1,3,1,1
3139,2,3,3,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,3,5,0,0
6113,2,2,2,0,2,1,0,1,0,1,0,2,2,7,7,0,2,1,0,7,4,2,1
6522,3,2,2,0,8,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,4,1
8,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1,1
2879,5,3,2,1,5,1,0,0,7,1,1,2,2,3,7,0,2,1,4,3,5,0,0
4539,2,3,3,0,2,1,0,0,3,0,1,1,1,4,4,0,2,1,2,1,4,1,1
2316,5,3,2,1,5,1,0,0,7,1,1,2,2,7,7,0,2,1,4,2,4,0,0
1039,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,3,5,1
7729,5,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,0,1,4,0,1,2,0
6125,2,3,2,0,8,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,2,1
5414,2,3,9,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,4,1,1
3353,2,0,2,1,5,1,0,0,9,1,1,2,2,7,3,0,2,1,4,2,4,0,0
3907,5,0,9,0,2,1,0,0,3,0,1,1,1,4,4,0,2,1,2,1,4,4,1
7716,3,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,1,1,4,0,1,2,0
339,5,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,1,0
121,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0
4915,2,0,9,0,2,1,0,0,7,0,1,1,1,0,6,0,2,1,2,1,4,1,1
5001,5,3,4,0,5,1,0,1,10,0,0,1,3,7,4,0,2,1,0,7,4,0,1
1090,4,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,5,5,0
2770,5,0,3,0,2,1,0,0,2,0,1,1,1,0,6,0,2,1,2,1,5,0,1
1372,5,0,8,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,2,3,1,0
6112,5,2,2,0,2,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,4,1
1317,5,0,4,1,5,1,0,0,5,1,1,2,2,7,3,0,2,1,4,2,5,0,0
622,5,0,8,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0,0
1419,2,2,8,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,0,1,0
1541,5,0,8,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,2,0,1,0
8038,5,3,3,1,5,1,0,0,10,0,1,2,2,7,7,0,2,2,4,7,5,4,0
2570,5,0,2,1,5,1,0,0,7,1,1,2,2,6,6,0,2,1,4,3,4,0,0
6056,2,2,2,0,2,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,0,1
4755,5,3,3,0,2,1,0,0,2,0,1,1,1,0,6,0,2,1,2,1,5,4,1
2691,5,3,3,1,5,1,0,0,10,1,1,2,2,6,3,0,2,1,4,2,5,0,0
2225,5,0,2,1,5,1,0,0,7,1,1,2,2,7,6,0,2,1,4,2,4,0,0
1410,5,0,4,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1,0
2127,5,3,3,1,5,1,0,0,5,1,1,2,2,7,6,0,2,1,4,2,4,0,0
2984,5,0,2,1,5,1,0,0,9,1,1,2,2,7,3,0,2,1,4,2,5,0,0
889,5,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0
5744,2,3,0,1,5,1,0,0,2,0,1,2,2,7,7,0,2,2,4,5,4,3,1
7214,3,2,2,0,2,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,2,1
2029,0,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0
7068,3,2,4,0,2,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,0,1
8000,0,2,4,0,5,0,0,0,5,0,0,2,2,5,5,0,1,1,4,3,1,2,0
5422,2,3,9,0,2,1,0,0,2,0,1,1,1,0,4,0,2,1,2,1,4,0,1
196,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0
4618,2,0,3,0,2,1,0,0,7,0,1,1,1,6,0,0,2,1,2,1,4,4,1
3755,5,0,3,0,2,1,0,0,3,0,1,1,1,6,0,0,2,1,2,1,5,1,1
415,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1,0
8103,3,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,0,1,4,4,1,2,0
2094,2,0,4,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1,0
7319,0,0,8,0,5,1,1,0,7,0,0,1,1,7,7,0,2,2,4,7,2,1,0
5003,2,0,9,0,2,1,0,0,7,0,1,1,1,4,0,0,2,1,2,1,4,0,1
432,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0
3932,2,3,9,0,2,1,0,0,2,0,1,1,1,6,0,0,2,1,2,1,4,0,1
2922,2,0,2,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,2,5,0,0
7575,3,2,4,0,2,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,4,1
2264,5,3,2,1,5,1,0,0,10,1,1,2,2,6,3,0,2,1,4,2,5,0,0
3656,5,0,3,0,1,1,1,1,5,0,1,2,2,7,7,0,2,1,4,3,3,0,1
4553,5,3,9,0,2,1,0,0,3,0,1,1,1,4,6,0,2,1,2,1,4,0,1
2215,5,3,4,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,3,4,0,0
6523,3,3,2,0,2,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,0,1
6772,2,2,4,0,7,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,2,1
1108,0,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1,0
5715,5,3,5,1,5,1,0,0,10,0,0,2,2,7,2,0,2,2,0,7,1,6,0
7941,3,3,2,0,4,0,0,0,10,0,2,1,3,1,1,0,2,0,3,7,1,0,1
7767,3,2,2,0,2,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,0,1
6357,5,2,4,0,8,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,4,1
5385,2,2,5,1,5,1,0,0,1,0,0,2,2,7,2,0,2,2,0,7,1,6,0
5756,5,3,3,0,2,1,0,0,2,0,1,1,1,0,4,0,2,1,2,1,4,1,1
1195,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1,1
2656,5,3,2,1,5,1,0,0,9,1,1,2,2,7,7,0,2,1,4,2,5,0,0
2499,5,3,3,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,2,4,0,0
604,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3,0
4383,5,3,9,0,2,1,0,0,3,0,1,1,1,4,0,0,2,1,2,1,4,4,1
880,2,0,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0
1219,2,0,8,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,3,3,1,0
2726,5,3,2,1,5,1,0,0,7,1,1,2,2,6,3,0,2,1,4,3,5,0,0
3065,2,3,3,1,5,1,0,0,9,1,1,2,2,6,3,0,2,1,4,3,4,0,0
2233,2,3,2,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,3,4,0,0
3047,5,2,5,0,1,1,1,1,5,0,1,2,2,7,7,0,2,1,4,3,4,0,1
5202,5,3,4,0,2,1,0,1,0,1,0,2,2,7,7,0,2,1,0,7,4,4,1
7932,3,2,2,0,7,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,4,1
5430,2,3,6,0,5,1,0,1,3,0,0,2,0,7,7,0,2,1,1,1,5,0,0
5100,5,0,9,0,2,1,0,0,7,0,1,1,1,6,6,0,2,1,2,1,4,1,1
4292,5,0,9,0,2,1,0,0,7,0,1,1,1,6,4,0,2,1,2,1,4,0,1
1945,2,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,1
7409,3,3,2,0,2,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1
3077,5,0,4,1,5,1,0,0,9,1,1,2,2,7,7,0,2,1,4,2,4,0,0
1706,2,0,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,3,1,0
1158,2,0,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,3,3,1,0
6340,2,3,2,0,2,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,0,1
4022,5,3,3,0,2,1,0,0,7,0,1,1,1,6,0,0,2,1,2,1,5,4,1
6377,2,2,2,0,7,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,4,1
5435,5,2,3,1,2,1,0,0,3,1,1,0,2,7,7,0,2,1,4,1,4,5,1
7218,3,3,4,0,2,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,4,1
5195,5,3,3,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,4,4,1
5274,5,3,4,0,7,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,2,1
7473,3,2,4,0,2,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,0,1
5405,0,3,5,1,5,1,0,0,8,0,1,2,2,7,7,0,2,2,4,5,4,1,1
7894,5,2,3,0,5,1,1,0,7,0,0,2,1,7,7,0,2,2,4,7,3,1,0
6119,3,2,2,0,7,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,4,1
6927,2,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,0,1,4,3,1,2,0
1782,5,2,8,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,0,1,0
5365,5,3,4,0,8,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,2,1
4405,2,0,9,0,2,1,0,0,3,0,1,1,1,0,4,0,2,1,2,1,5,0,1
4128,2,3,3,0,2,1,0,0,7,0,1,1,1,0,6,0,2,1,2,1,5,4,1
904,5,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3,0
1446,5,2,4,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,3,1,0
7622,0,0,3,0,5,1,1,0,2,0,0,2,2,7,7,0,2,2,4,7,2,1,0
2874,5,0,2,1,5,1,0,0,7,1,1,2,2,7,6,0,2,1,4,3,5,0,0
6766,2,3,4,0,7,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,2,1
6110,2,3,2,0,8,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,4,1
3961,2,0,3,1,5,1,0,0,10,1,1,2,2,6,6,0,2,1,4,2,4,0,0
6378,5,2,2,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1
1784,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1,0
1565,5,0,3,1,5,1,0,0,5,1,1,2,2,3,7,0,2,1,4,3,4,0,0
3908,2,0,9,0,2,1,0,0,3,0,1,1,1,6,4,0,2,1,2,1,4,0,1
7169,3,2,4,0,2,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,2,1
7651,0,0,8,0,5,1,1,0,7,0,0,2,2,7,7,0,2,2,4,7,2,1,0
4279,2,0,9,0,2,1,0,0,7,0,1,1,1,6,6,0,2,1,2,1,5,1,1
7605,3,2,2,0,7,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,0,1
6607,5,2,4,0,7,1,0,1,0,1,0,2,1,7,7,0,2,1,0,7,4,0,1
6458,3,3,4,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1
2663,5,0,3,1,5,1,0,0,5,1,1,2,2,3,6,0,2,1,4,2,4,0,0
2699,5,0,3,1,5,1,0,0,9,1,1,2,2,6,3,0,2,1,4,2,4,0,0
4427,5,3,9,0,2,1,0,0,3,0,1,1,1,4,4,0,2,1,2,1,4,0,1
3458,5,3,3,1,5,1,0,0,10,1,1,2,2,3,7,0,2,1,4,2,5,0,0
3399,5,0,3,0,2,1,0,0,2,0,1,1,1,6,4,0,2,1,2,1,5,1,1
6732,2,2,2,0,8,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,0,1
6580,5,2,2,0,8,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,2,1
6423,2,2,2,0,7,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,4,1
2751,5,0,3,1,5,1,0,0,7,1,1,2,2,6,6,0,2,1,4,3,5,0,0
4372,5,0,9,0,2,1,0,0,7,0,1,1,1,0,6,0,2,1,2,1,4,1,1
5489,5,3,4,0,7,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,0,1
5180,5,2,0,1,2,1,0,0,3,1,1,0,2,7,7,0,2,1,4,1,4,5,1
254,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0
4017,5,3,9,0,2,1,0,0,7,0,1,1,1,4,4,0,2,1,2,1,4,0,1
1113,2,0,8,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,0,1,0
2321,5,3,2,1,5,1,0,0,10,1,1,2,2,6,6,0,2,1,4,2,4,0,0
2291,5,3,2,1,5,1,0,0,5,1,1,2,2,3,3,0,2,1,4,2,4,0,0
221,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1,1
267,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3,0
107,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3,0
6505,2,3,4,0,7,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,2,1
1226,5,3,2,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,3,4,0,0
7702,2,3,4,0,5,1,0,0,10,0,1,3,3,4,4,0,2,2,4,7,5,4,0
7628,3,2,4,0,7,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,4,1
7914,3,2,2,0,2,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,0,1
6343,2,3,4,0,8,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,0,1
1512,2,2,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,0,1,0
6370,2,2,4,0,2,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,0,1
7533,5,2,4,0,5,1,0,0,10,0,1,3,3,4,4,0,2,2,4,7,5,4,0
303,0,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0
7820,3,3,2,0,4,1,0,0,10,0,2,1,3,1,1,0,2,0,3,7,1,0,1
4169,2,3,3,0,2,1,0,0,7,0,1,1,1,6,0,0,2,1,2,1,5,1,1
2177,5,3,2,1,5,1,0,0,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0
7773,3,2,4,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,0,1
4523,5,3,3,0,2,1,0,0,2,0,1,1,1,0,0,0,2,1,2,1,5,0,1
1210,5,2,4,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,0,1,0
1786,2,3,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,5,1
3971,5,0,3,0,2,1,0,0,7,0,1,1,1,0,0,0,2,1,2,1,5,4,1
6290,5,2,4,0,8,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,2,1
527,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3,0
1436,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0
2446,5,0,4,1,5,1,0,0,10,1,1,2,2,6,3,0,2,1,4,2,4,0,0
5332,3,3,9,0,5,1,0,1,10,0,0,1,3,7,4,0,2,1,0,7,4,0,1
5576,5,3,4,0,7,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,4,1
376,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,5,5,0
1869,5,2,8,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,2,3,1,0
4409,2,0,9,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,5,0,1
4506,2,3,3,0,2,1,0,0,2,0,1,1,1,6,6,0,2,1,2,1,5,0,1
6710,2,2,2,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1
3836,2,3,3,1,5,1,0,0,9,1,1,2,2,3,3,0,2,1,4,3,4,0,0
755,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0
291,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0
3039,2,3,2,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,2,4,0,0
6477,5,2,2,0,8,1,0,1,0,1,0,2,2,7,7,0,2,1,0,7,4,4,1
